-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.021,  0.148
-183.800, 80.199, 0.020,  0.181
-183.800, 80.198, 0.021,  0.214
-183.800, 80.198, 0.025,  0.247
-183.800, 80.197, 0.045,  0.280
-183.799, 80.193, 0.116,  0.313
-183.797, 80.186, 0.218,  0.346
-183.793, 80.174, 0.331,  0.379
-183.788, 80.160, 0.418,  0.412
-183.779, 80.143, 0.544,  0.445
-183.767, 80.121, 0.652,  0.478
-183.751, 80.097, 0.736,  0.511
-183.732, 80.071, 0.846,  0.544
-183.709, 80.041, 0.960,  0.577
-183.685, 80.007, 1.090,  0.610
-183.658, 79.970, 1.223,  0.643
-183.630, 79.928, 1.372,  0.676
-183.600, 79.881, 1.520,  0.709
-183.570, 79.831, 1.657,  0.742
-183.538, 79.777, 1.776,  0.775
-183.507, 79.721, 1.856,  0.808
-183.475, 79.663, 1.903,  0.841
-183.444, 79.605, 1.923,  0.874
-183.413, 79.547, 1.922,  0.907
-183.383, 79.490, 1.906,  0.940
-183.353, 79.434, 1.879,  0.973
-183.323, 79.379, 1.843,  1.006
-183.294, 79.326, 1.802,  1.039
-183.265, 79.274, 1.756,  1.072
-183.237, 79.223, 1.707,  1.105
-183.210, 79.175, 1.632,  1.138
-183.184, 79.129, 1.575,  1.171
-183.158, 79.084, 1.529,  1.204
-183.132, 79.041, 1.495,  1.237
-183.106, 78.998, 1.476,  1.270
-183.081, 78.955, 1.475,  1.303
-183.055, 78.912, 1.492,  1.336
-183.029, 78.867, 1.526,  1.369
-183.002, 78.822, 1.576,  1.402
-182.974, 78.774, 1.636,  1.435
-182.947, 78.724, 1.703,  1.468
-182.918, 78.672, 1.772,  1.501
-182.890, 78.617, 1.835,  1.534
-182.861, 78.561, 1.871,  1.567
-182.833, 78.505, 1.885,  1.600
-182.805, 78.449, 1.879,  1.633
-182.778, 78.393, 1.859,  1.666
-182.751, 78.338, 1.829,  1.699
-182.726, 78.284, 1.791,  1.732
